id,team_api_id,team_long_name,date,buildUpPlaySpeed,buildUpPlayPassing,chanceCreationPassing,chanceCreationCrossing,chanceCreationShooting,defencePressure,defenceAggression,defenceTeamWidth
1,9987,KRC Genk,2010-02-22,45.0,45.0,50.0,35.0,60.0,70.0,65.0,70.0
1,9987,KRC Genk,2011-02-22,66.0,52.0,65.0,66.0,51.0,48.0,47.0,54.0
1,9987,KRC Genk,2012-02-22,53.0,55.0,55.0,48.0,56.0,47.0,45.0,55.0
1,9987,KRC Genk,2013-09-20,58.0,38.0,67.0,48.0,56.0,47.0,45.0,55.0
1,9987,KRC Genk,2014-09-19,58.0,38.0,67.0,48.0,56.0,47.0,45.0,55.0
1,9987,KRC Genk,2015-09-10,58.0,38.0,30.0,69.0,56.0,36.0,57.0,70.0
2,9993,Beerschot AC,2010-02-22,35.0,35.0,45.0,40.0,50.0,70.0,70.0,70.0
2,9993,Beerschot AC,2011-02-22,47.0,37.0,54.0,64.0,67.0,33.0,34.0,48.0
2,9993,Beerschot AC,2012-02-22,55.0,55.0,47.0,46.0,49.0,45.0,46.0,50.0
2,9993,Beerschot AC,2013-09-20,47.0,39.0,38.0,64.0,49.0,45.0,46.0,67.0
3,10000,SV Zulte-Waregem,2010-02-22,65.0,60.0,60.0,40.0,50.0,70.0,60.0,70.0
3,10000,SV Zulte-Waregem,2011-02-22,52.0,52.0,52.0,48.0,53.0,46.0,48.0,53.0
3,10000,SV Zulte-Waregem,2012-02-22,54.0,51.0,47.0,52.0,50.0,44.0,55.0,53.0
3,10000,SV Zulte-Waregem,2013-09-20,54.0,51.0,47.0,52.0,32.0,44.0,58.0,37.0
3,10000,SV Zulte-Waregem,2014-09-19,54.0,51.0,47.0,52.0,32.0,44.0,58.0,37.0
3,10000,SV Zulte-Waregem,2015-09-10,54.0,51.0,47.0,52.0,32.0,44.0,58.0,37.0
4,9994,Sporting Lokeren,2010-02-22,60.0,60.0,50.0,40.0,50.0,65.0,65.0,70.0
4,9994,Sporting Lokeren,2011-02-22,66.0,53.0,48.0,46.0,52.0,48.0,58.0,55.0
